 time            v(Ain)          v(COMPout)     
 6.25850000e-06  5.15625000e-01  1.76173977e-02 
 6.25950000e-06  5.15625000e-01  1.76171922e-02 
 6.26050000e-06  5.15625000e-01  1.76170063e-02 
 6.26150000e-06  5.15625000e-01  1.76168010e-02 
 6.26250000e-06  5.15625000e-01  1.76166152e-02 
 6.26350000e-06  5.15625000e-01  1.76164100e-02 
 6.26450000e-06  5.15625000e-01  1.76162243e-02 
 6.26550000e-06  5.15625000e-01  1.76160192e-02 
 6.26650000e-06  5.15625000e-01  1.76158337e-02 
 6.26750000e-06  5.15625000e-01  1.76156287e-02 
 6.26850000e-06  5.15625000e-01  1.76154433e-02 
 6.26950000e-06  5.15625000e-01  1.76152384e-02 
 6.27050000e-06  5.15625000e-01  1.76150531e-02 
 6.27150000e-06  5.15625000e-01  1.76148483e-02 
 6.27250000e-06  5.15625000e-01  1.76146631e-02 
 6.27350000e-06  5.15625000e-01  1.76144585e-02 
 6.27450000e-06  5.15625000e-01  1.76142734e-02 
 6.27550000e-06  5.15625000e-01  1.76140689e-02 
 6.27650000e-06  5.15625000e-01  1.76138839e-02 
 6.27750000e-06  5.15625000e-01  1.76136795e-02 
 6.27850000e-06  5.15625000e-01  1.76134946e-02 
 6.27950000e-06  5.15625000e-01  1.76132903e-02 
 6.28050000e-06  5.15625000e-01  1.76131056e-02 
 6.28150000e-06  5.15625000e-01  1.76129014e-02 
 6.28250000e-06  5.15625000e-01  1.76127168e-02 
 6.28350000e-06  5.15625000e-01  1.76125127e-02 
 6.28450000e-06  5.15625000e-01  1.76123282e-02 
 6.28550000e-06  5.15625000e-01  1.76121243e-02 
 6.28650000e-06  5.15625000e-01  1.76119399e-02 
 6.28750000e-06  5.15625000e-01  1.76117361e-02 
 6.28850000e-06  5.15625000e-01  1.76115518e-02 
 6.28950000e-06  5.15625000e-01  1.76113481e-02 
 6.29050000e-06  5.15625000e-01  1.76111639e-02 
 6.29150000e-06  5.15625000e-01  1.76109603e-02 
 6.29250000e-06  5.15625000e-01  1.76107762e-02 
 6.29350000e-06  5.15625000e-01  1.76105728e-02 
 6.29450000e-06  5.15625000e-01  1.76103888e-02 
 6.29550000e-06  5.15625000e-01  1.76101855e-02 
 6.29650000e-06  5.15625000e-01  1.76100016e-02 
