 time            v(D_latch)      v(D_latch_bar)  v(Aout)         v(sh_pos)       v(sh_neg)      
 3.33000000e-06  1.79999870e+00  6.54981704e-09  7.70164768e-01  7.48491069e-01  7.48491005e-01 
 3.35000000e-06  1.80000069e+00  5.44685343e-07  7.70182719e-01  7.48492058e-01  7.48491975e-01 
 3.37000000e-06  1.79999883e+00 -1.74963230e-07  7.70168171e-01  7.48493025e-01  7.48492959e-01 
 3.39000000e-06  1.80000056e+00  7.06288558e-07  7.70182941e-01  7.48494012e-01  7.48493931e-01 
 3.41000000e-06  1.79999895e+00 -3.18311498e-07  7.70171391e-01  7.48494981e-01  7.48494913e-01 
 3.43000000e-06  1.80000044e+00  8.33218302e-07  7.70183372e-01  7.48495966e-01  7.48495886e-01 
 3.45000000e-06  1.79999906e+00 -4.30234059e-07  7.70174390e-01  7.48496937e-01  7.48496868e-01 
 3.47000000e-06  1.80000034e+00  9.31611268e-07  7.70184030e-01  7.48497920e-01  7.48497841e-01 
 3.49000000e-06  1.79999916e+00 -5.16292677e-07  7.70177165e-01  7.48498893e-01  7.48498822e-01 
 3.51000000e-06  1.80000026e+00  1.00653361e-06  7.70184902e-01  7.48499874e-01  7.48499797e-01 
 3.53000000e-06  1.79999924e+00 -5.81093381e-07  7.70179733e-01  7.48500848e-01  7.48500777e-01 
 3.55000000e-06  1.80000018e+00  1.06218158e-06  7.70185967e-01  7.48501829e-01  7.48501752e-01 
 3.57000000e-06  1.79999931e+00 -6.28453464e-07  7.70182124e-01  7.48502803e-01  7.48502731e-01 
 3.59000000e-06  1.80000011e+00  1.10203301e-06  7.70187192e-01  7.48503783e-01  7.48503707e-01 
 3.61000000e-06  1.79999937e+00 -6.61535361e-07  7.70184370e-01  7.48504758e-01  7.48504686e-01 
 3.63000000e-06  1.80000006e+00  1.12896881e-06  7.70188544e-01  7.48505738e-01  7.48505662e-01 
 3.65000000e-06  1.79999942e+00 -6.82959198e-07  7.70186499e-01  7.48506714e-01  7.48506641e-01 
 3.67000000e-06  1.80000001e+00  1.14537552e-06  7.70189998e-01  7.48507692e-01  7.48507617e-01 
 3.69000000e-06  1.79999947e+00 -6.94895040e-07  7.70188542e-01  7.48508668e-01  7.48508595e-01 
 3.71000000e-06  1.79999997e+00  1.15322871e-06  7.70191527e-01  7.48509647e-01  7.48509572e-01 
 3.73000000e-06  1.79999951e+00 -6.99138517e-07  7.70190515e-01  7.48510623e-01  7.48510550e-01 
 3.75000000e-06  1.79999993e+00  1.15416299e-06  7.70193112e-01  7.48511602e-01  7.48511526e-01 
 3.77000000e-06  1.79999954e+00 -6.97174860e-07  7.70192443e-01  7.48512578e-01  7.48512504e-01 
 3.79000000e-06  1.79999990e+00  1.14952940e-06  7.70194741e-01  7.48513556e-01  7.48513481e-01 
 3.81000000e-06  1.79999957e+00 -6.90231327e-07  7.70194334e-01  7.48514533e-01  7.48514459e-01 
 3.83000000e-06  1.79999988e+00  1.14044413e-06  7.70196398e-01  7.48515511e-01  7.48515436e-01 
 3.85000000e-06  1.79999959e+00 -6.79321205e-07  7.70196198e-01  7.48516488e-01  7.48516414e-01 
 3.87000000e-06  1.79999986e+00  1.12782817e-06  7.70198079e-01  7.48517465e-01  7.48517391e-01 
 3.89000000e-06  1.79999961e+00 -6.65280132e-07  7.70198046e-01  7.48518442e-01  7.48518368e-01 
 3.91000000e-06  1.79999984e+00  1.11244052e-06  7.70199778e-01  7.48519420e-01  7.48519345e-01 
 3.93000000e-06  1.79999962e+00 -6.48796440e-07  7.70199880e-01  7.48520397e-01  7.48520323e-01 
 3.95000000e-06  1.79999982e+00  1.09490595e-06  7.70201488e-01  7.48521375e-01  7.48521300e-01 
 3.97000000e-06  1.79999964e+00 -6.30436286e-07  7.70201702e-01  7.48522352e-01  7.48522277e-01 
 3.99000000e-06  1.79999981e+00  1.07573831e-06  7.70203207e-01  7.48523329e-01  7.48523255e-01 
 4.01000000e-06  1.79999965e+00 -6.10665053e-07  7.70203516e-01  7.48524306e-01  7.48524232e-01 
 4.03000000e-06  1.79999980e+00  1.05535917e-06  7.70204930e-01  7.48525284e-01  7.48525209e-01 
