 time            v(Ain)          v(SH_pos)       v(COMPout)      v(D0)           v(d1)           v(d2)           v(d3)          
 2.39811759e-05  5.16000000e-01  8.21397696e-01  1.42814921e-02  4.32257125e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39821759e-05  5.16000000e-01  8.21397695e-01  1.42813312e-02  5.81298247e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39831759e-05  5.16000000e-01  8.21397698e-01  1.42811640e-02  4.31975064e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39841759e-05  5.16000000e-01  8.21397698e-01  1.42810032e-02  5.80980888e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39851759e-05  5.16000000e-01  8.21397701e-01  1.42808361e-02  4.31693856e-07  1.79999963e+00  1.80000043e+00  1.79999979e+00 
 2.39861759e-05  5.16000000e-01  8.21397700e-01  1.42806754e-02  5.80664396e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39871759e-05  5.16000000e-01  8.21397704e-01  1.42805084e-02  4.31413379e-07  1.79999964e+00  1.80000043e+00  1.79999979e+00 
 2.39881759e-05  5.16000000e-01  8.21397703e-01  1.42803478e-02  5.80348776e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39891759e-05  5.16000000e-01  8.21397707e-01  1.42801809e-02  4.31133781e-07  1.79999964e+00  1.80000043e+00  1.79999979e+00 
 2.39901759e-05  5.16000000e-01  8.21397706e-01  1.42800204e-02  5.80033856e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39911759e-05  5.16000000e-01  8.21397709e-01  1.42798536e-02  4.30855011e-07  1.79999964e+00  1.80000043e+00  1.79999979e+00 
 2.39921759e-05  5.16000000e-01  8.21397709e-01  1.42796932e-02  5.79719789e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39931759e-05  5.16000000e-01  8.21397712e-01  1.42795265e-02  4.30577098e-07  1.79999964e+00  1.80000043e+00  1.79999979e+00 
 2.39941759e-05  5.16000000e-01  8.21397712e-01  1.42793662e-02  5.79406497e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39951759e-05  5.16000000e-01  8.21397715e-01  1.42791996e-02  4.30299922e-07  1.79999964e+00  1.80000043e+00  1.79999979e+00 
 2.39961759e-05  5.16000000e-01  8.21397714e-01  1.42790394e-02  5.79094126e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39971759e-05  5.16000000e-01  8.21397718e-01  1.42788729e-02  4.30023513e-07  1.79999964e+00  1.80000043e+00  1.79999979e+00 
 2.39981759e-05  5.16000000e-01  8.21397717e-01  1.42787127e-02  5.78782542e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39991759e-05  5.16000000e-01  8.21397721e-01  1.42785464e-02  4.29747918e-07  1.79999964e+00  1.80000043e+00  1.79999979e+00 
 2.40000000e-05  5.16000000e-01  8.21397720e-01  1.42784150e-02  5.78499120e-07  1.79999986e+00  1.79999941e+00  1.79999967e+00 
 2.39002933e-05  5.47250000e-01  5.24711576e-01  7.42107279e-03  2.16612567e-07  1.67316765e-07  1.30793807e-07  1.56809510e-07 
 2.39012933e-05  5.47250000e-01  5.24711583e-01  7.42101483e-03  2.02949874e-07  1.61139090e-07  1.25669120e-07  1.36663593e-07 
 2.39022933e-05  5.47250000e-01  5.24711590e-01  7.42090966e-03  2.16615572e-07  1.67321049e-07  1.30798635e-07  1.56814164e-07 
 2.39032933e-05  5.47250000e-01  5.24711596e-01  7.42085176e-03  2.02947738e-07  1.61135941e-07  1.25665864e-07  1.36659752e-07 
 2.39042933e-05  5.47250000e-01  5.24711603e-01  7.42074665e-03  2.16618571e-07  1.67325346e-07  1.30803401e-07  1.56818749e-07 
 2.39052933e-05  5.47250000e-01  5.24711610e-01  7.42068879e-03  2.02945517e-07  1.61132769e-07  1.25662639e-07  1.36655957e-07 
 2.39062933e-05  5.47250000e-01  5.24711617e-01  7.42058373e-03  2.16621616e-07  1.67329678e-07  1.30808190e-07  1.56823342e-07 
 2.39072933e-05  5.47250000e-01  5.24711623e-01  7.42052592e-03  2.02943321e-07  1.61129612e-07  1.25659375e-07  1.36652157e-07 
 2.39082933e-05  5.47250000e-01  5.24711630e-01  7.42042091e-03  2.16624649e-07  1.67333961e-07  1.30812989e-07  1.56827903e-07 
 2.39092933e-05  5.47250000e-01  5.24711637e-01  7.42036314e-03  2.02941091e-07  1.61126478e-07  1.25656081e-07  1.36648356e-07 
 2.39102933e-05  5.47250000e-01  5.24711644e-01  7.42025819e-03  2.16627709e-07  1.67338237e-07  1.30817820e-07  1.56832499e-07 
 2.39112933e-05  5.47250000e-01  5.24711650e-01  7.42020047e-03  2.02938857e-07  1.61123317e-07  1.25652790e-07  1.36644550e-07 
 2.39122933e-05  5.47250000e-01  5.24711657e-01  7.42009556e-03  2.16630781e-07  1.67342571e-07  1.30822628e-07  1.56837065e-07 
 2.39132933e-05  5.47250000e-01  5.24711664e-01  7.42003789e-03  2.02936605e-07  1.61120132e-07  1.25649505e-07  1.36640767e-07 
 2.39142933e-05  5.47250000e-01  5.24711671e-01  7.41993305e-03  2.16633829e-07  1.67346874e-07  1.30827436e-07  1.56841625e-07 
 2.39152933e-05  5.47250000e-01  5.24711677e-01  7.41987542e-03  2.02934394e-07  1.61116970e-07  1.25646211e-07  1.36636977e-07 
 2.39162933e-05  5.47250000e-01  5.24711684e-01  7.41977062e-03  2.16636847e-07  1.67351187e-07  1.30832248e-07  1.56846190e-07 
 2.39172933e-05  5.47250000e-01  5.24711691e-01  7.41971304e-03  2.02932221e-07  1.61113806e-07  1.25642929e-07  1.36633177e-07 
 2.39182933e-05  5.47250000e-01  5.24711698e-01  7.41960830e-03  2.16639823e-07  1.67355506e-07  1.30837043e-07  1.56850755e-07 
 2.39192933e-05  5.47250000e-01  5.24711704e-01  7.41955077e-03  2.02930051e-07  1.61110627e-07  1.25639647e-07  1.36629377e-07 
 2.39202933e-05  5.47250000e-01  5.24711711e-01  7.41944608e-03  2.16642826e-07  1.67359794e-07  1.30841822e-07  1.56855349e-07 
 2.39212933e-05  5.47250000e-01  5.24711718e-01  7.41938859e-03  2.02927882e-07  1.61107460e-07  1.25636376e-07  1.36625559e-07 
 2.39222933e-05  5.47250000e-01  5.24711725e-01  7.41928395e-03  2.16645792e-07  1.67364104e-07  1.30846596e-07  1.56859933e-07 
 2.39232933e-05  5.47250000e-01  5.24711731e-01  7.41922651e-03  2.02925711e-07  1.61104297e-07  1.25633137e-07  1.36621741e-07 
 2.39242933e-05  5.47250000e-01  5.24711738e-01  7.41912193e-03  2.16648782e-07  1.67368404e-07  1.30851342e-07  1.56864534e-07 
 2.39252933e-05  5.47250000e-01  5.24711745e-01  7.41906453e-03  2.02923542e-07  1.61101151e-07  1.25629894e-07  1.36617898e-07 
 2.39262933e-05  5.47250000e-01  5.24711752e-01  7.41895999e-03  2.16651769e-07  1.67372669e-07  1.30856072e-07  1.56869123e-07 
 2.39272933e-05  5.47250000e-01  5.24711758e-01  7.41890265e-03  2.02921378e-07  1.61098000e-07  1.25626648e-07  1.36614078e-07 
 2.39282933e-05  5.47250000e-01  5.24711765e-01  7.41879816e-03  2.16654738e-07  1.67376955e-07  1.30860831e-07  1.56873708e-07 
 2.39292933e-05  5.47250000e-01  5.24711772e-01  7.41874086e-03  2.02919198e-07  1.61094858e-07  1.25623413e-07  1.36610258e-07 
 2.39302933e-05  5.47250000e-01  5.24711779e-01  7.41863643e-03  2.16657726e-07  1.67381231e-07  1.30865559e-07  1.56878306e-07 
